epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1981,1.30308,1.16985,1.36019,0.73089,0.64794,0.7269,0.44962,1.44505,1.1211,1.5335,0.007921,0.007921,0.007921
44,2023.03,1.29019,1.15764,1.34974,0.81307,0.63062,0.75805,0.45112,1.61065,1.15889,1.6066,0.0078715,0.0078715,0.0078715
45,2076.8,1.28918,1.11694,1.3493,0.71798,0.64346,0.72022,0.44186,1.54843,1.22641,1.53903,0.007822,0.007822,0.007822
46,2115.66,1.30054,1.1342,1.3474,0.73921,0.66021,0.7569,0.4764,1.46846,1.15263,1.4994,0.0077725,0.0077725,0.0077725
47,2157.77,1.28195,1.10629,1.34017,0.74749,0.63898,0.73023,0.43563,1.62659,1.1722,1.59863,0.007723,0.007723,0.007723
48,2211.57,1.28235,1.11156,1.32258,0.82368,0.63331,0.75345,0.44314,1.59722,1.17698,1.58093,0.0076735,0.0076735,0.0076735
49,2250.62,1.26588,1.08802,1.32219,0.78455,0.60297,0.7507,0.4472,1.61235,1.17625,1.58796,0.007624,0.007624,0.007624
50,2292.99,1.28018,1.10093,1.3234,0.77542,0.62652,0.75012,0.44536,1.55935,1.07388,1.59908,0.0075745,0.0075745,0.0075745
51,2346.81,1.26485,1.08176,1.32348,0.72765,0.68143,0.75867,0.44673,1.63856,1.15856,1.58345,0.007525,0.007525,0.007525
52,2389.73,1.26896,1.06625,1.33108,0.75899,0.65783,0.76598,0.4528,1.54338,1.15447,1.52688,0.0074755,0.0074755,0.0074755
53,2448.6,1.25448,1.06416,1.32768,0.74964,0.73655,0.77878,0.46895,1.48119,1.12888,1.53092,0.007426,0.007426,0.007426
54,2490.58,1.25045,1.05764,1.31591,0.78319,0.66564,0.74932,0.46582,1.56497,1.09355,1.54559,0.0073765,0.0073765,0.0073765
55,2529.53,1.24372,1.02524,1.3092,0.76991,0.69146,0.79529,0.4858,1.56669,1.05044,1.54254,0.007327,0.007327,0.007327
56,2587.66,1.25069,1.04548,1.30754,0.6248,0.72086,0.73199,0.44449,1.5974,1.15752,1.59881,0.0072775,0.0072775,0.0072775
57,2643.52,1.24616,1.03904,1.30475,0.75749,0.69409,0.76674,0.46608,1.49008,1.20203,1.46055,0.007228,0.007228,0.007228
58,2699.28,1.22684,1.01818,1.2945,0.69776,0.70636,0.70211,0.40999,1.54434,1.16933,1.53816,0.0071785,0.0071785,0.0071785
59,2748.46,1.22414,1.01723,1.30105,0.74752,0.70169,0.75581,0.44514,1.64865,1.0695,1.63713,0.007129,0.007129,0.007129
60,2790.51,1.20975,1.02701,1.28439,0.77885,0.63898,0.75253,0.46013,1.61817,1.09644,1.62284,0.0070795,0.0070795,0.0070795
61,2833.2,1.21575,1.01151,1.29471,0.75973,0.6832,0.75798,0.43778,1.62109,1.25609,1.61832,0.00703,0.00703,0.00703
62,2891.66,1.22097,1.01647,1.29362,0.69246,0.68737,0.72426,0.44586,1.61954,1.09141,1.6407,0.0069805,0.0069805,0.0069805
63,2929.12,1.22387,1.02776,1.30078,0.78328,0.71951,0.79067,0.4809,1.56103,1.05062,1.52465,0.006931,0.006931,0.006931
64,2987.34,1.18284,0.97229,1.26609,0.77056,0.66838,0.73924,0.45453,1.64594,1.07118,1.64788,0.0068815,0.0068815,0.0068815
65,3027.55,1.20529,0.98899,1.2769,0.77454,0.66205,0.76172,0.46791,1.63131,1.10938,1.66657,0.006832,0.006832,0.006832
66,3069.5,1.19103,0.97349,1.27051,0.67843,0.77743,0.76487,0.46906,1.51281,1.10797,1.51455,0.0067825,0.0067825,0.0067825
67,3106.94,1.18636,0.97337,1.26462,0.75551,0.70411,0.78065,0.46938,1.53596,1.08205,1.54699,0.006733,0.006733,0.006733
68,3163.55,1.19566,0.95715,1.26682,0.799,0.67827,0.75499,0.4841,1.49098,1.06844,1.55595,0.0066835,0.0066835,0.0066835
69,3210.11,1.19014,0.95992,1.27125,0.72303,0.70627,0.73873,0.45194,1.58516,1.05015,1.63487,0.006634,0.006634,0.006634
70,3247.53,1.16708,0.95428,1.25943,0.6562,0.78376,0.7451,0.44694,1.60486,1.12707,1.55313,0.0065845,0.0065845,0.0065845
71,3304.59,1.17363,0.95035,1.25661,0.71844,0.62223,0.69666,0.42934,1.57781,1.1573,1.63124,0.006535,0.006535,0.006535
72,3350.85,1.16007,0.93172,1.24337,0.68385,0.70187,0.74189,0.45236,1.58296,1.18146,1.62025,0.0064855,0.0064855,0.0064855
73,3392.94,1.14721,0.91861,1.24181,0.78951,0.6788,0.7537,0.44607,1.64774,1.05624,1.69176,0.006436,0.006436,0.006436
74,3436.13,1.15981,0.92505,1.24335,0.76925,0.62632,0.74205,0.46372,1.58339,1.08612,1.6091,0.0063865,0.0063865,0.0063865
75,3482.45,1.16348,0.91904,1.25894,0.67637,0.71044,0.74489,0.4694,1.5281,1.02533,1.55918,0.006337,0.006337,0.006337
76,3524.46,1.15466,0.90473,1.25034,0.66928,0.74578,0.75035,0.46037,1.6071,1.02678,1.62336,0.0062875,0.0062875,0.0062875
77,3567.92,1.12662,0.90066,1.22425,0.7402,0.65133,0.753,0.4343,1.72148,1.11134,1.69589,0.006238,0.006238,0.006238
78,3610.13,1.13323,0.89512,1.23065,0.77541,0.63539,0.74066,0.46407,1.59728,1.10577,1.63595,0.0061885,0.0061885,0.0061885
79,3652.32,1.13377,0.88244,1.22427,0.74989,0.67718,0.74043,0.45493,1.59444,1.10076,1.62687,0.006139,0.006139,0.006139
80,3707.75,1.12038,0.87613,1.22389,0.77745,0.71266,0.77387,0.45339,1.55535,1.0684,1.5974,0.0060895,0.0060895,0.0060895
81,3749.78,1.12716,0.88788,1.22673,0.706,0.68036,0.71663,0.43045,1.54581,1.06766,1.59236,0.00604,0.00604,0.00604
82,3791.69,1.12491,0.86367,1.2257,0.71311,0.71424,0.75144,0.4414,1.6067,1.13058,1.63349,0.0059905,0.0059905,0.0059905
83,3829.09,1.12877,0.8778,1.23105,0.75264,0.68772,0.75726,0.46782,1.5777,1.14107,1.6381,0.005941,0.005941,0.005941
84,3866.5,1.11912,0.86287,1.21333,0.71777,0.678,0.73654,0.43816,1.68119,1.09089,1.67687,0.0058915,0.0058915,0.0058915
85,3920.24,1.10493,0.85351,1.20642,0.7169,0.70127,0.76982,0.44572,1.48791,1.08367,1.59031,0.005842,0.005842,0.005842
86,3975.61,1.11012,0.85521,1.21031,0.72224,0.71453,0.72772,0.4363,1.65196,1.08722,1.70206,0.0057925,0.0057925,0.0057925
87,4022.34,1.09427,0.83579,1.21173,0.66579,0.71807,0.7408,0.43688,1.69148,1.12284,1.76453,0.005743,0.005743,0.005743
88,4064.38,1.12061,0.85586,1.21525,0.76269,0.72271,0.74701,0.44602,1.60546,1.04741,1.66384,0.0056935,0.0056935,0.0056935
89,4107.56,1.09895,0.84599,1.20806,0.73577,0.6639,0.73011,0.44021,1.63576,1.10456,1.71915,0.005644,0.005644,0.005644
90,4154.2,1.10469,0.83888,1.20292,0.80274,0.63898,0.75185,0.48499,1.56637,1.0379,1.63959,0.0055945,0.0055945,0.0055945
91,4196.33,1.08023,0.81661,1.19086,0.72296,0.66396,0.74726,0.45757,1.64758,1.04808,1.7143,0.005545,0.005545,0.005545
92,4239.61,1.08452,0.82139,1.19589,0.75112,0.75283,0.77822,0.45995,1.58137,1.0514,1.64478,0.0054955,0.0054955,0.0054955
93,4281.59,1.08759,0.81066,1.18838,0.77303,0.64306,0.74798,0.46746,1.55731,0.99185,1.61816,0.005446,0.005446,0.005446
94,4319.04,1.06732,0.82358,1.19424,0.69768,0.73567,0.76679,0.47835,1.57416,1.03063,1.62358,0.0053965,0.0053965,0.0053965
95,4360.99,1.06847,0.80621,1.18527,0.75084,0.6788,0.74377,0.45831,1.62982,1.07072,1.67673,0.005347,0.005347,0.005347
96,4398.4,1.08186,0.82345,1.19123,0.77706,0.69918,0.77669,0.45568,1.63203,1.12841,1.67212,0.0052975,0.0052975,0.0052975
