epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.899,1.65264,2.39996,1.63155,0.56719,0.52075,0.58134,0.31423,1.61958,1.7079,1.61495,0.0704167,0.00328704,0.00328704
2,442.605,1.49331,1.59308,1.4548,0.58654,0.35469,0.476,0.25641,1.8352,1.99035,1.67579,0.0403839,0.0065876,0.0065876
3,638.703,1.48057,1.5125,1.42286,0.59554,0.50515,0.55831,0.29069,1.94599,1.98071,1.78266,0.0103181,0.00985516,0.00985516
4,853.806,1.52144,1.50033,1.43714,0.53496,0.43434,0.41095,0.19879,1.93885,2.53924,1.73744,0.0098515,0.0098515,0.0098515
5,1053.78,1.52363,1.50027,1.44231,0.57955,0.46743,0.55188,0.29572,1.71495,1.62644,1.62293,0.009802,0.009802,0.009802
6,1251.64,1.51967,1.45378,1.44459,0.62938,0.52777,0.60546,0.32851,1.84434,1.56941,1.71252,0.0097525,0.0097525,0.0097525
7,1448.71,1.52181,1.4496,1.44368,0.62222,0.52888,0.60395,0.34853,1.69011,1.53272,1.60817,0.009703,0.009703,0.009703
8,1659.45,1.50947,1.41177,1.43171,0.75598,0.43579,0.59905,0.36702,1.70653,1.74032,1.67341,0.0096535,0.0096535,0.0096535
9,1856.94,1.47985,1.36832,1.42163,0.6178,0.4751,0.58818,0.33896,1.64859,1.86433,1.62808,0.009604,0.009604,0.009604
10,2054.1,1.47286,1.33118,1.40502,0.59384,0.48866,0.54723,0.3031,1.62421,2.0566,1.55589,0.0095545,0.0095545,0.0095545
11,2251.4,1.45452,1.32323,1.40242,0.51981,0.51989,0.55536,0.31858,1.71951,1.84247,1.66075,0.009505,0.009505,0.009505
12,2449.6,1.44893,1.31533,1.39664,0.63114,0.57803,0.64124,0.35682,1.77405,1.4405,1.68699,0.0094555,0.0094555,0.0094555
13,2625.15,1.45919,1.32302,1.40335,0.62494,0.58967,0.67156,0.41203,1.64095,1.33485,1.53802,0.009406,0.009406,0.009406
14,2815.21,1.43334,1.27745,1.37427,0.72985,0.61999,0.69231,0.3867,1.62543,1.40263,1.54444,0.0093565,0.0093565,0.0093565
15,3031.92,1.42155,1.25467,1.38416,0.7887,0.5651,0.68752,0.40192,1.57476,1.1834,1.53567,0.009307,0.009307,0.009307
16,3229.11,1.42588,1.27442,1.38637,0.64423,0.66838,0.69485,0.43964,1.53375,1.3652,1.44418,0.0092575,0.0092575,0.0092575
17,3434.89,1.40344,1.20967,1.36922,0.72353,0.62711,0.69515,0.42334,1.61951,1.19501,1.4914,0.009208,0.009208,0.009208
18,3652.69,1.38621,1.20267,1.3596,0.72302,0.6311,0.72977,0.44748,1.60075,1.18325,1.4934,0.0091585,0.0091585,0.0091585
19,3861.32,1.39508,1.1911,1.36288,0.65412,0.49878,0.56249,0.33315,1.74477,1.6133,1.75442,0.009109,0.009109,0.009109
20,4071.8,1.35359,1.17304,1.3375,0.79403,0.67062,0.76088,0.47925,1.55012,1.10149,1.46465,0.0090595,0.0090595,0.0090595
21,4268.62,1.36574,1.1712,1.35218,0.72334,0.61717,0.70093,0.42856,1.57702,1.28979,1.49982,0.00901,0.00901,0.00901
22,4460.29,1.36592,1.1409,1.33968,0.78559,0.6704,0.76396,0.47232,1.54313,1.13833,1.4679,0.0089605,0.0089605,0.0089605
23,4661.91,1.34127,1.14187,1.32425,0.66049,0.66469,0.71848,0.44921,1.64716,1.24056,1.55194,0.008911,0.008911,0.008911
24,4871.78,1.33306,1.11951,1.31792,0.67524,0.63344,0.69661,0.42201,1.75325,1.19192,1.70295,0.0088615,0.0088615,0.0088615
25,5073.15,1.32404,1.12066,1.30563,0.76153,0.56333,0.67231,0.44973,1.60646,1.36422,1.55649,0.008812,0.008812,0.008812
26,5285.68,1.33771,1.08582,1.30939,0.6281,0.71065,0.70904,0.44367,1.59836,1.12806,1.5165,0.0087625,0.0087625,0.0087625
27,5479.71,1.30447,1.06142,1.2973,0.71582,0.63713,0.723,0.47874,1.49472,1.02043,1.38739,0.008713,0.008713,0.008713
28,5681.31,1.29852,1.07621,1.29073,0.714,0.639,0.72606,0.46237,1.62925,1.08935,1.52609,0.0086635,0.0086635,0.0086635
29,5869.71,1.32407,1.07883,1.30733,0.74873,0.67471,0.72847,0.43569,1.70896,1.20462,1.6272,0.008614,0.008614,0.008614
30,6075.45,1.28803,1.05196,1.27995,0.73384,0.63852,0.72451,0.43753,1.63727,1.13247,1.54331,0.0085645,0.0085645,0.0085645
31,6266.94,1.26803,1.02708,1.27294,0.69893,0.67146,0.7403,0.43424,1.67269,1.11853,1.58575,0.008515,0.008515,0.008515
32,6471.38,1.27226,1.01342,1.27833,0.7523,0.69142,0.75262,0.46935,1.55197,1.09001,1.50426,0.0084655,0.0084655,0.0084655
33,6663.83,1.2589,0.99184,1.25924,0.75041,0.6553,0.72859,0.42317,1.57492,1.11378,1.52439,0.008416,0.008416,0.008416
34,6860.56,1.24958,0.98003,1.26203,0.70344,0.67347,0.73018,0.46559,1.61258,1.0951,1.52534,0.0083665,0.0083665,0.0083665
35,7057.12,1.24217,0.97477,1.24806,0.75316,0.73391,0.79409,0.4591,1.65946,1.02015,1.61248,0.008317,0.008317,0.008317
36,7258.88,1.20908,0.94849,1.23061,0.78703,0.72093,0.79465,0.47182,1.62817,1.06114,1.54297,0.0082675,0.0082675,0.0082675
37,7447.1,1.21378,0.96032,1.23987,0.73501,0.7082,0.76658,0.46698,1.61194,1.04673,1.56097,0.008218,0.008218,0.008218
38,7647.93,1.20932,0.9322,1.23146,0.75081,0.73352,0.7908,0.47397,1.64049,1.09588,1.54551,0.0081685,0.0081685,0.0081685
39,7840.2,1.20785,0.93622,1.23668,0.72744,0.63489,0.7063,0.43075,1.67274,1.08639,1.55943,0.008119,0.008119,0.008119
40,8039.83,1.19007,0.91336,1.2151,0.66694,0.80498,0.77146,0.42782,1.72533,1.10806,1.69284,0.0080695,0.0080695,0.0080695
